Formula,Volume,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,ave:density,ave:dipole_polarizability,ave:electron_negativity,ave:electron_affinity,ave:en_allen,ave:en_ghosh,ave:en_pauling,ave:first_ion_en,ave:fusion_enthalpy,ave:gs_bandgap,ave:gs_energy,ave:specific_heat,ave:thermal_conductivity,ave:vdw_radius,ave:vdw_radius_alvarez,ave:vdw_radius_mm3,ave:vdw_radius_uff,ave:sound_velocity
AgCl3K,132.4521625,164.2122904,215.4,22.34,50.6633,849.56,21.28,3.2072,83.578,2.446,2.528329,13.26,0.20736302,2.446,10.16395666,4.647,1.4958,-1.843246908,0.642274576,106.00534,202.2,214.4,234.6,376.02,1043.6
La2N6W2,65.89429489,120.8,214.8,16.786,72.953294,1978.44,102.0189297,5.5748,61.56,2.516,-0.582748,13.36704925,0.23939648,2.384,11.408646,11.915,3.8622,-8.504134087,0.529768628,36.615498,185.2,210.6,219.2,351.96,1729.96
O3SrV,57.715487,157.5208522,208.8,16.81,37.3117,1115.514,92.15971934,2.4194,59.812,2.58,0.9912681,15.7676,0.23191352,2.58,10.659038,5.918,0,-4.978490001,0.804711982,13.215948,182.4,195.2,215,345.7,2003.34641
Cl6Cs2Tl2,176.625755,176.0122904,221.8,28.66,88.7270904,679.48,9.58,3.6806,105.498,2.378,2.3373602,13.48967801,0.2238137,2.414,9.7809978,3.1664,1.4958,-1.696121051,0.518074576,16.40534,212.8,228.2,244.8,414.1,722.6555938
F3MnRb,78.51117739,157.0141685,194.2,22.918,39.4802107,690.206,52.5793637,2.4132,79.34,2.862,2.651903984,17.7834,0.25465988,2.862,12.7759096,3.173,1.182,-3.01561663,0.913707505,13.17662,189.8,200.8,212.4,343.34,2986.14953
FeO3Sr,56.46241061,155.9208522,203.6,16.56,38.2924,990.114,94.15971934,2.7722,53.13,2.62,0.9164681,16.083,0.23429728,2.62,10.89028,4.38,0,-4.847734735,0.796311982,23.015948,181.8,195.6,213.8,341.06,2073.34641
Cl6Rb2Sn2,175.2395241,170.4122904,221.2,25.66,62.10556,843.96,12.76,2.7044,87.198,2.452,2.4872324,13.1754,0.2148294,2.452,10.0847876,3.788,1.4958,-2.055536676,0.560674576,25.00534,209,221.8,241,406.94,883.6
O3SrTi,61.5403161,160.1208522,209.8,17.26,36.6968,1097.514,82.15971934,2.1054,63.212,2.562,0.9020681,15.589,0.23111938,2.562,10.675424,4.448,0,-4.745683287,0.812311982,11.415948,183.2,196,217,346.32,1919.34641
Cl9Li3Sn3,137.9771289,151.8122904,217.2,17.1,46.4,875.39,14.46,2.5048,56.238,2.484,2.5136582,13.4184,0.2149108,2.484,10.3277058,3.95,1.4958,-2.236847053,1.186474576,30.40534,184.8,200,227,373.68,1823.6
CoF3Tl,70.63457799,139.6141685,190.6,15.04,64.0616807,1025.606,72.6793637,4.8148,24.102,3.088,2.248565112,19.58007801,0.27000246,3.124,13.2515208,4.2214,1.182,-2.88944991,0.863107505,29.21662,167.4,185,199,346.22,2803.74953
F3RbTl,107.1503545,164.2141685,194.2,24.88,69.3686019,589.206,37.1793637,3.3412,76.32,2.876,2.21329782,18.24347801,0.2622924,2.912,12.5107444,1.4194,1.182,-1.666039086,0.843907505,20.81662,188,201.2,219.4,371.06,2119.74953
Cl6In2Rb2,161.7034913,171.2122904,220.8,25.54,61.32716,805.96,16.99858577,2.7044,92.458,2.416,2.324819,12.976,0.212065,2.416,9.7732756,3.0162,1.4958,-1.79668765,0.563074576,28.00534,204.2,222,242,408.36,626.6
Cs2F6Hg2,101.1204702,165.2141685,193.4,27.22,78.0985323,367.272,33.3993637,3.7486,89.202,2.946,2.580174369,17.7476,0.2713083,2.926,13.319961,1.03,1.182,-1.239782979,0.822107505,8.87662,201.4,206.2,222,346.28,2413.005124
Na2Nb2O6,63.59044556,154.9208522,197.8,15.3,32.77862786,1288.334,80.92362451,2.5976,56.884,2.57,1.1697345,15.512,0.22700344,2.57,10.5504152,6.652,0,-5.124787726,0.945511982,38.815948,180.2,191.2,211.8,332.96,1526.5
Br3CsSc,165.1217665,180.3331849,233.8,31.1,83.514672,1010.26,12.86,2.8446,121.736,2.206,2.15007812,11.716,0.19947384,2.206,9.179359,6.409,0.8742,-2.377843113,0.846944312,10.472,222.6,232.8,254.2,407.58,2926.205799
Cl3MnRb,130.4908477,165.0122904,220,23.878,49.3511688,782.36,25.16,2.6844,92.078,2.37,2.778825164,13.0854,0.20627588,2.37,10.1028076,4.94,1.4958,-3.067440308,0.611674576,13.16534,206.6,222.4,234,378.32,1413.6
Cd2Cl6Rb2,147.3017585,168.8122904,219.2,25.02,60.84636,542.96,9.56,2.9724,88.648,2.398,2.774905511,12.8164,0.20930032,2.398,10.4147676,3.6,1.4958,-1.425762103,0.562674576,31.00534,209.2,223.2,239.2,376.06,845.6
Cl3CuTl,115.4201413,148.2122904,215.4,16.08,74.8552,1057.16,37.26,5.098,34.598,2.6,2.490035,14.90207801,0.22320552,2.636,10.5474928,5.4684,1.4958,-2.261326723,0.546874576,89.20534,183.4,206.2,221.2,393.66,1001.2
Ba2O6Ti2,67.316896,161.5208522,212.6,18.32,46.6382,1148.114,69.58362451,2.2974,79.612,2.55,0.9213921,15.4922,0.23915346,2.55,10.5787868,4.386,0,-4.793825019,0.790511982,8.015948,187,199.8,218.4,347.56,1342.5
Ca2Cl6Rb2,159.6947299,177.4122904,225.6,28.38,46.37916,686.76,4.56,1.5524,112.518,2.26,2.269729,12.24,0.20230138,2.26,9.8386356,4.066,1.4958,-1.652993171,0.646874576,51.60534,211.8,225.8,245.4,387.08,1145.6
Cs2F6Sr2,112.6975075,176.8141685,203.4,31,55.5041323,572.726,42.89545853,1.5474,119.62,2.736,2.14463902,16.7986,0.26120994,2.736,12.371431,2.057,1.182,-1.526324587,0.854707505,14.21662,206.6,214,231.4,365,3032.451534
HfO3Pb,72.98106977,156.1208522,205.2,14.78,86.7374,1550.714,76.86362451,5.6214,34.364,2.79,0.950816732,16.376,0.2643246,2.684,11.01917,6.5268,0,-5.570740932,0.708511982,11.615948,176.2,194.6,214.6,358.76,1044.5
Cd2F6Tl2,89.42508557,145.4141685,193.8,16.32,74.7578419,604.606,45.0793637,4.7648,22.49,3.05,2.626200331,19.20707801,0.27143652,3.086,13.4740828,2.2234,1.182,-1.635806926,0.818307505,28.61662,171,186.8,204.4,345.74,2321.74953
Cl6Cs2Sn2,177.6115626,174.2122904,223,28.48,71.5930904,842.08,12.58,2.7726,103.638,2.446,2.4843736,13.1196,0.2247347,2.446,10.028143,3.768,1.4958,-2.033794963,0.536874576,20.60534,217,227.2,244.8,415,1059.055594
I3O9Rb3,98.09953691,167.4687705,198.2,24.72,52.073854,337.814,47.70362451,1.9818,73.824,2.76,1.58565946,16.4414,0.24758572,2.76,11.0965076,2.122,0.2124,-3.347822632,0.915875636,11.705748,191.4,195,221.4,382.28,1108.342987
